등종류,행정동,소재지 주소,상세위치,위도,경도,데이터기준일
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리697-2,,33.21480942,126.2528076,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리645-9,,33.21145248,126.2573471,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리637-7,,33.212677,126.2574921,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리637-7,,33.21341324,126.2575836,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리551-5,,33.21417236,126.2576599,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리579-1,,33.21519852,126.2577744,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리579-1,,33.21632004,126.2579117,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리421-5,,33.21700287,126.257988,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리433-1,,33.21780777,126.2580795,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리435-9,,33.21880341,126.2582092,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리433-3,,33.21792984,126.2579346,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리427-1,,33.21712112,126.2578354,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리566,,33.21608353,126.2577133,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리557-1,,33.21430206,126.2575073,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리553,,33.21358871,126.257431,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리638-2,,33.21253204,126.2573013,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리654-11,,33.21178436,126.2555389,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리697-4,,33.21472549,126.2528915,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리697-4,,33.21486664,126.2529678,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리697-4,,33.21498489,126.253067,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2149,,33.21607971,126.2529526,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21582031,126.2527847,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21608734,126.252533,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21643829,126.2524796,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.2172699,126.2524033,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21769333,126.2523651,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21813965,126.2523117,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21848679,126.2522888,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21884537,126.2522659,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21909714,126.2522736,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2150,,33.21870041,126.2527008,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2150,,33.21908188,126.2526627,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2140,,33.21857071,126.2529297,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21934891,126.2522125,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21971893,126.252182,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리934-32,,33.2201004,126.2521591,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리937-7,,33.22042847,126.2520218,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2140,,33.21902084,126.2528763,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2140,,33.21876907,126.2528763,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2140,,33.21860504,126.2528763,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21678543,126.2524643,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리934-29,,33.22024536,126.2519302,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리772-15,,33.21986389,126.2519608,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2144,,33.21952438,126.2519836,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리2148,,33.21908188,126.2520447,2025-07-25
